step,customer,age,gender,merchant,category,amount,zipcodeOri,zipMerchant,fraud
687,1592,4,U,56,es_tech,129.87,19022,48554,0
563,591,1,U,59,es_transportation,229.98,18076,35357,0
567,1439,U,F,400,es_hyper,236.0,82634,23574,0
244,1523,2,F,431,es_electronics,189.99,43357,15620,0
505,851,6,Enterprise,230,es_travel,342.23,14395,63157,0
131,440,5,F,90,es_health,24.76,54853,11016,0
485,1657,5,M,54,es_travel,63.29,99701,51352,0
647,714,0,U,251,es_fashion,89.74,30250,27975,0
21,432,3,Enterprise,47,es_electronics,93.43,31601,65519,0
167,948,2,F,436,es_health,28.22,85972,41840,0
274,328,5,F,146,es_hyper,71.49,73103,92867,0
388,1281,4,M,209,es_sports,100.45,77366,23722,1
601,1666,3,F,46,es_wellnessandbeauty,26.32,12350,80564,0
316,861,6,F,118,es_wellnessandbeauty,104.42,71473,68865,0
14,1578,2,E,217,es_hyper,77.38,42737,11007,0
242,1098,1,E,122,es_sports,29.91,39476,59138,0
346,1258,2,F,154,es_electronics,182.78,80714,42706,0
565,1545,1,F,18,es_food,29.85,69606,52815,0
340,1906,2,F,305,es_sports,16.83,99152,45874,0
92,1567,3,M,193,es_food,12.65,67678,51860,0
367,1632,3,F,366,es_hyper,210.59,12350,44984,0
455,1282,U,M,391,es_hyper,57.91,80523,48739,0
428,1816,2,M,158,es_travel,56.23,25606,10387,0
509,229,1,Enterprise,97,es_food,114.35,51107,64027,0
35,1269,5,M,153,es_food,78.12,64842,54469,0
206,1451,2,Enterprise,281,es_food,140.49,42519,81334,0
81,1734,1,F,411,es_electronics,50.09,18011,44976,0
562,1480,4,M,35,es_electronics,33.27,26967,13932,0
388,744,2,M,107,es_transportation,70.67,85447,99663,0
2,1497,0,M,338,es_fashion,32.48,82796,97343,0
390,1002,4,M,377,es_tech,11.34,48485,85168,0
566,811,1,F,414,es_transportation,855.51,37832,21297,0
106,1587,0,F,270,es_home,26.65,27155,67638,0
477,1753,4,F,163,es_health,146.24,68552,36031,0
703,174,3,U,34,es_fashion,58.17,29777,19548,0
402,1099,5,M,468,es_fashion,53.66,40157,88561,0
556,1123,1,M,399,es_tech,22.8,65800,64963,0
162,513,3,U,7,es_fashion,41.93,65581,89280,0
202,1148,1,F,397,es_travel,94.0,57867,26648,0
270,1141,2,U,228,es_home,38.09,25348,70488,0
271,1367,2,F,424,es_hyper,17.23,49384,94287,0
456,1731,3,M,188,es_travel,49.23,85251,75127,0
462,1257,3,F,290,es_sports,48.14,99225,35934,0
252,129,2,E,269,es_transportation,145.02,14118,59800,0
702,374,1,Enterprise,260,es_fashion,207.3,25296,82513,0
296,1599,1,M,397,es_travel,231.27,56734,62265,0
720,236,6,M,48,es_electronics,15.95,66977,64982,0
338,1868,4,M,108,es_health,102.42,94263,37734,0
53,742,6,M,141,es_leisure,96.67,95483,65208,1
217,190,3,F,215,es_electronics,57.69,31766,12845,1
188,1725,5,F,349,es_sports,83.27,11992,96162,0
380,168,4,F,33,es_leisure,23.97,43264,13029,0
493,1631,2,M,23,es_electronics,24.08,38347,71218,0
41,1693,4,F,67,es_health,401.6,88526,64838,0
157,291,3,M,160,es_fashion,125.72,38487,34475,0
15,1884,1,F,439,es_travel,395.21,76121,23902,0
65,1365,1,F,3,es_health,113.89,20784,38848,0
521,1419,2,F,396,es_wellnessandbeauty,34.28,52841,45231,0
344,1498,3,M,124,es_tech,5.68,21755,64598,0
129,139,3,M,312,es_food,88.38,77845,35254,0
648,1215,3,F,196,es_food,3.39,77138,48407,0
472,1989,3,E,33,es_transportation,481.36,18612,85351,0
63,568,0,U,32,es_home,119.85,86228,97448,0
139,1543,0,E,145,es_tech,562.31,50550,12492,0
499,1075,2,M,436,es_fashion,160.73,34687,69874,0
593,991,3,F,73,es_electronics,4.59,83769,99837,0
392,1575,4,E,261,es_hyper,358.89,85958,20789,0
675,298,4,Enterprise,277,es_wellnessandbeauty,25.19,26005,48602,0
419,1096,U,M,259,es_fashion,22.67,89479,12915,0
289,256,2,M,373,es_electronics,27.46,60463,56431,0
379,309,1,M,231,es_home,282.51,33003,84453,0
490,91,2,M,195,es_sports,87.22,43180,51582,0
231,149,4,M,293,es_home,18.29,42419,37284,0
41,1054,2,F,236,es_food,201.02,15200,20414,0
28,462,5,M,291,es_sports,10.97,41828,35877,0
135,635,5,M,33,es_sports,30.34,23127,49566,0
201,1409,3,M,182,es_sports,90.58,84138,14763,0
33,1773,4,Enterprise,259,es_transportation,85.33,39941,57506,0
48,1816,5,F,176,es_transportation,44.0,22682,78913,0
503,637,4,U,146,es_health,45.01,73623,68978,0
407,646,2,M,131,es_transportation,67.77,15068,37248,0
574,518,1,F,93,es_home,81.15,18724,48458,0
99,1919,1,E,357,es_leisure,62.42,45877,22528,0
684,1397,U,E,133,es_tech,102.91,40784,48263,0
547,1221,1,M,9,es_sports,60.38,78408,45145,0
613,190,2,M,204,es_fashion,5.68,53816,32833,0
462,1827,1,M,16,es_sports,496.97,26717,47607,0
643,1920,4,M,347,es_food,163.83,73490,91605,0
5,1772,3,F,73,es_electronics,35.56,22576,20589,0
218,79,1,F,178,es_sports,8.14,54490,42321,0
503,1571,U,F,246,es_health,39.28,87824,57356,0
398,816,5,M,185,es_tech,5.31,18065,71975,0
393,1906,1,M,57,es_wellnessandbeauty,18.48,11924,29772,0
207,1897,5,F,363,es_hyper,17.08,35267,16898,0
15,72,5,F,86,es_health,41.77,22127,13639,0
554,43,4,F,17,es_electronics,443.81,37596,33822,0
461,803,2,M,321,es_sports,726.21,40969,75876,0
691,1157,2,F,313,es_food,23.3,61529,53503,0
575,1823,3,F,191,es_home,41.04,74312,11391,0
241,1130,3,M,195,es_food,116.17,15847,52483,0
564,1695,3,Enterprise,5,es_transportation,85.52,48387,72891,0
96,357,2,F,406,es_home,3.0,38746,22307,0
485,8,2,M,385,es_transportation,51.11,66053,38913,0
407,1798,3,U,175,es_tech,48.64,75547,65448,0
231,1367,3,Enterprise,433,es_sports,48.67,24883,23587,0
655,437,6,M,132,es_sports,12.22,61421,58699,0
171,80,3,M,406,es_sports,241.17,97705,63335,0
541,1580,4,F,88,es_sports,177.82,90778,21167,0
36,689,2,M,183,es_food,36.72,62368,66977,0
525,1416,5,M,288,es_electronics,56.7,24139,21265,0
160,576,2,F,110,es_transportation,157.07,17121,21928,0
699,900,U,Enterprise,66,es_electronics,88.65,26409,69976,0
243,288,5,M,100,es_electronics,27.12,65472,34422,0
86,1845,0,F,453,es_sports,243.28,70480,67202,0
578,1137,5,F,327,es_travel,110.79,44627,40729,0
682,963,3,F,228,es_health,105.35,74886,35291,0
557,1855,3,E,232,es_home,14.36,63777,11395,0
574,1906,U,F,235,es_sports,78.57,59494,18311,0
646,720,4,F,264,es_hyper,27.46,89466,89772,0
28,956,1,F,36,es_wellnessandbeauty,93.48,57936,40280,0
620,226,4,M,491,es_leisure,11.49,59512,11983,0
556,1357,1,M,268,es_travel,16.2,46414,24523,0
340,1441,6,M,156,es_food,63.76,40782,76236,0
331,278,2,M,2,es_health,214.06,74150,67182,0
640,895,3,M,367,es_wellnessandbeauty,734.76,55567,98918,0
506,1823,5,M,78,es_transportation,35.97,27259,67466,0
348,792,U,F,147,es_electronics,23.94,97605,91453,0
473,1027,1,M,341,es_health,98.43,11663,17608,0
231,545,1,F,478,es_sports,108.4,28617,55896,0
190,478,4,Enterprise,305,es_fashion,51.37,16737,10915,0
225,1434,5,Enterprise,368,es_travel,27.33,14824,22340,0
385,1331,3,E,293,es_sports,48.33,75171,64281,0
377,1238,1,F,180,es_food,19.14,13457,79776,0
283,1054,1,U,469,es_wellnessandbeauty,32.06,62395,70953,0
633,419,3,M,476,es_sports,277.89,73054,63089,0
628,1561,1,U,60,es_food,492.51,70591,69057,0
259,1052,2,Enterprise,225,es_transportation,42.87,57579,79191,0
359,609,4,E,298,es_leisure,101.56,16570,49943,0
710,87,1,M,263,es_travel,25.82,26748,90303,0
456,1050,2,F,298,es_home,3.8,16256,17671,0
411,120,2,E,185,es_travel,77.82,21109,84283,0
649,713,2,E,272,es_food,52.69,32136,99032,0
318,392,4,M,485,es_travel,18.97,11842,26137,0
677,1381,3,Enterprise,115,es_leisure,389.12,53120,45245,0
225,353,6,E,409,es_home,669.49,42311,29271,0
234,15,2,M,422,es_sports,136.13,31084,34950,0
684,305,6,Enterprise,300,es_food,16.94,99315,46908,0
664,1278,3,F,38,es_transportation,14.13,78409,56027,0
374,623,3,U,256,es_tech,85.73,90648,33233,0
672,520,2,M,490,es_wellnessandbeauty,67.37,89479,74795,0
608,1975,6,Enterprise,234,es_wellnessandbeauty,8.12,41976,69451,0
472,853,2,F,301,es_fashion,11.36,21953,12621,0
233,640,3,F,243,es_leisure,106.6,33047,23103,0
692,1210,6,F,158,es_sports,13.04,79263,38892,0
113,387,5,E,465,es_tech,180.94,36473,34290,0
497,905,2,M,400,es_transportation,102.19,46656,52756,0
442,1524,5,M,388,es_health,16.12,80929,67531,0
564,14,4,F,350,es_travel,20.22,90864,29035,0
268,1254,0,M,212,es_hyper,50.54,33715,36348,0
510,91,3,M,291,es_home,67.93,60229,77805,0
386,1428,2,M,61,es_transportation,8.9,40222,11595,0
387,1529,4,M,133,es_transportation,32.98,88440,75483,0
113,4,4,M,109,es_fashion,10.14,60168,50341,0
613,1022,4,F,334,es_hyper,177.31,75946,72780,0
625,1688,3,F,384,es_health,28.69,79922,46046,0
81,1243,6,F,425,es_wellnessandbeauty,47.37,91130,44252,0
699,1612,1,M,297,es_electronics,174.13,96212,84753,1
113,796,3,F,360,es_hyper,17.18,29286,29737,0
2,1891,2,U,284,es_tech,132.34,30195,88932,0
642,216,2,M,138,es_home,12.04,98875,54649,0
220,1183,1,M,118,es_wellnessandbeauty,48.54,38066,91013,0
566,1787,3,M,125,es_electronics,25.0,88618,46912,0
225,1603,2,F,180,es_sports,42.25,57202,20876,0
385,1758,2,E,222,es_hyper,5.1,95415,14285,0
403,704,0,U,370,es_electronics,49.82,64520,53264,0
638,731,2,F,160,es_health,142.18,33654,61974,1
130,1397,6,M,204,es_tech,159.86,51753,58414,0
53,17,3,F,45,es_tech,13.16,94201,86275,0
684,1926,2,F,16,es_leisure,120.18,88970,86909,0
672,495,U,F,90,es_wellnessandbeauty,64.58,76272,27147,0
710,1643,4,Enterprise,448,es_transportation,20.2,24663,75618,0
416,1490,3,U,291,es_sports,43.46,28618,86999,0
247,444,6,F,105,es_electronics,31.14,21090,65138,0
439,1763,4,Enterprise,464,es_tech,167.05,52936,28521,0
203,1105,3,M,145,es_wellnessandbeauty,125.0,62883,66641,0
184,779,0,F,112,es_hyper,118.2,88269,34189,0
123,166,2,M,215,es_fashion,65.69,83384,23644,0
401,357,4,M,426,es_leisure,430.06,82465,84548,0
294,234,2,Enterprise,406,es_tech,110.59,78953,76604,0
280,1186,1,F,178,es_food,9.66,33135,84821,0
610,175,3,F,21,es_fashion,46.15,49711,40044,0
198,1696,5,M,226,es_travel,17.2,39012,15458,0
511,1387,U,U,46,es_hyper,139.8,12259,30670,0
144,1400,1,M,57,es_hyper,7.38,69976,75071,0
609,697,U,F,261,es_fashion,42.05,16129,30404,0
201,1198,2,F,486,es_fashion,139.04,70410,77833,0
124,238,4,M,52,es_home,70.46,43833,76603,0
187,1187,2,U,415,es_hyper,96.25,12549,64563,0
326,988,4,E,417,es_transportation,39.4,67175,17627,0
464,1014,4,Enterprise,431,es_electronics,12.29,68887,29840,0
349,1942,2,F,131,es_transportation,20.42,58475,26006,0
660,912,2,F,53,es_sports,22.92,93299,51175,1
403,1262,2,F,83,es_hyper,19.87,78529,14861,0
346,1642,4,Enterprise,440,es_health,84.53,57944,45687,0
511,630,U,U,18,es_transportation,75.42,29462,12177,0
147,1256,3,F,412,es_wellnessandbeauty,68.67,17312,55622,0
148,588,3,U,143,es_leisure,104.39,70516,74057,0
711,1541,2,F,306,es_health,42.88,64287,51249,0
489,1754,4,U,417,es_food,165.66,73881,31356,0
640,794,5,Enterprise,28,es_health,10.39,42338,34915,0
551,1869,1,M,302,es_tech,511.29,35350,85140,0
338,920,2,F,113,es_travel,38.47,29323,36045,0
641,1260,3,F,116,es_hyper,198.66,27163,83993,0
473,1347,1,F,328,es_fashion,8.29,34399,72754,0
151,1568,2,F,376,es_sports,12.05,82059,97213,0
415,407,3,E,488,es_travel,79.58,47087,49411,0
298,177,5,U,251,es_travel,35.23,63156,33775,0
611,1524,3,F,113,es_fashion,6.79,78646,60979,0
263,119,2,M,94,es_tech,16.06,55155,59846,0
144,1214,1,U,1,es_food,415.7,17227,68505,0
346,614,2,F,455,es_electronics,19.62,85786,30070,0
624,365,3,Enterprise,183,es_hyper,30.75,18099,41334,0
572,486,5,M,314,es_health,988.23,43099,88515,0
2,1997,2,F,462,es_sports,17.23,29746,33192,0
304,1103,2,F,149,es_travel,88.83,69516,66437,0
254,322,2,M,56,es_food,19.39,54059,52313,0
652,139,1,F,70,es_electronics,267.29,86860,97300,0
453,1360,3,M,145,es_leisure,193.13,49641,76806,0
37,1426,1,F,78,es_food,623.1,58956,31845,0
160,1250,5,F,135,es_home,50.7,10424,98082,0
9,1290,4,F,79,es_fashion,180.78,51004,53091,0
233,333,4,F,328,es_sports,66.4,72002,81445,0
99,224,6,E,444,es_fashion,3.8,85025,86853,0
659,572,5,F,248,es_leisure,17.24,82855,62595,1
208,776,0,F,176,es_travel,4.49,39447,11546,0
131,967,4,M,10,es_travel,22.12,70115,99632,0
404,1584,3,F,221,es_transportation,221.21,67290,86050,0
152,593,2,M,127,es_sports,186.56,37842,35910,0
54,809,2,M,41,es_sports,53.02,17071,20056,0
120,987,1,M,403,es_fashion,32.29,76096,43294,0
673,1915,5,F,190,es_tech,240.7,65134,86233,0
628,1024,2,F,450,es_food,426.19,20259,45870,0
587,1544,2,M,392,es_leisure,61.14,71903,23215,0
625,861,4,M,414,es_food,605.0,53754,82521,0
420,1273,4,M,107,es_wellnessandbeauty,21.46,69322,45370,1
422,1780,3,M,164,es_travel,154.27,54782,16149,0
104,1701,2,M,178,es_hyper,495.41,94275,21184,0
254,1883,1,E,82,es_sports,8.14,91841,30635,0
227,1445,3,F,386,es_home,60.89,38463,49072,0
112,1856,5,M,5,es_hyper,271.21,76477,95788,0
510,187,0,M,174,es_sports,33.52,24795,60632,0
473,249,2,F,333,es_hyper,131.52,43585,14000,0
99,1151,2,F,296,es_travel,7.59,97513,97283,0
153,1112,3,M,441,es_food,51.38,75924,44376,0
338,1069,0,F,267,es_transportation,12.82,10346,25627,0
706,1936,5,Enterprise,118,es_travel,10.54,91887,77309,0
163,1818,4,F,200,es_travel,18.62,99409,20344,0
720,1024,1,F,495,es_wellnessandbeauty,23.66,62693,21168,0
681,246,5,M,422,es_food,159.98,50010,46558,0
161,927,4,F,17,es_leisure,29.24,51552,66525,0
580,1435,U,M,75,es_home,68.81,85074,69941,0
398,1242,2,M,121,es_tech,252.93,15757,55725,0
277,1451,5,F,282,es_electronics,117.19,91766,76539,0
504,15,1,U,39,es_sports,5.46,41020,75242,0
392,1792,4,U,354,es_fashion,238.82,63015,78355,0
135,826,1,E,195,es_home,567.09,29029,78528,0
195,689,4,Enterprise,498,es_leisure,101.88,55746,54322,0
401,1359,1,M,153,es_travel,58.72,44602,64674,0
640,727,4,Enterprise,344,es_electronics,92.35,68007,97468,0
33,537,2,M,245,es_travel,42.43,47360,79195,0
688,492,1,F,116,es_hyper,31.08,45856,33972,0
460,1860,3,M,471,es_health,31.33,24623,91522,0
470,292,0,M,414,es_home,17.85,64218,41996,0
375,117,2,M,430,es_fashion,29.72,50387,25243,0
22,592,2,M,41,es_home,28.49,21409,16271,0
670,687,U,M,104,es_electronics,37.16,63875,59446,0
38,744,4,M,248,es_electronics,28.34,75024,17912,0
230,1851,2,M,475,es_wellnessandbeauty,23.27,51580,45865,0
365,1493,2,M,434,es_health,54.21,27053,20750,0
563,948,2,M,364,es_wellnessandbeauty,31.07,74610,84754,0
438,1576,4,F,172,es_tech,139.03,90690,15133,0
283,683,4,E,266,es_travel,50.48,27798,85477,0
27,629,3,F,329,es_leisure,3.42,11543,95217,0
226,1720,2,M,386,es_fashion,214.44,59588,18299,0
277,593,2,E,376,es_electronics,102.83,49793,79155,0
609,387,3,M,149,es_food,527.21,65844,34759,0
284,1607,4,E,203,es_electronics,116.12,15627,17694,0
481,652,2,F,374,es_health,372.47,78044,24073,0
453,193,3,M,458,es_fashion,104.03,60671,88612,0
659,1707,2,M,25,es_sports,18.62,70114,71348,0
516,101,3,M,488,es_wellnessandbeauty,51.78,93994,88864,0
547,1094,4,E,453,es_tech,11.9,14973,59593,0
192,1198,6,U,278,es_home,160.1,89751,12477,0
49,444,3,Enterprise,453,es_hyper,96.2,69891,54902,0
512,1725,1,M,457,es_food,3.93,76167,46183,0
17,433,4,M,11,es_home,488.01,82439,33071,0
172,1239,4,F,428,es_fashion,21.94,18858,36636,0
220,537,4,M,261,es_travel,25.64,32510,81632,0
158,601,3,F,6,es_food,52.68,42863,10786,0
477,1667,2,F,225,es_travel,214.25,16290,90060,0
46,708,4,U,272,es_hyper,58.88,11564,18356,0
373,319,U,U,248,es_hyper,415.5,32734,22771,0
518,1310,3,U,46,es_fashion,16.89,34176,28207,0
99,225,1,M,408,es_wellnessandbeauty,61.05,69800,95513,0
37,1373,2,M,14,es_sports,21.74,40250,37579,0
280,388,2,E,24,es_health,99.12,28463,73815,0
349,846,3,F,365,es_food,30.91,51595,92841,0
497,1365,4,M,254,es_food,30.18,99361,56429,0
302,1863,2,U,332,es_electronics,74.76,54108,15788,0
181,1685,4,M,407,es_food,193.61,65737,90592,0
607,1528,1,F,423,es_food,20.2,88946,19813,0
99,71,5,F,262,es_travel,54.48,94844,12174,0
700,1153,1,Enterprise,247,es_wellnessandbeauty,65.69,12532,42682,0
116,444,5,U,489,es_hyper,250.79,80610,16426,0
191,1314,4,E,277,es_fashion,5.29,20335,85552,0
253,599,3,E,112,es_food,32.18,11547,50035,0
161,387,1,M,201,es_hyper,154.59,81578,60537,0
256,18,3,M,302,es_tech,72.01,46718,24295,0
323,1579,1,Enterprise,105,es_food,28.62,36353,41736,0
128,1100,2,M,228,es_transportation,373.56,11290,36236,0
18,1870,1,F,425,es_electronics,39.2,61868,25082,0
566,553,1,M,488,es_leisure,168.2,31098,12912,0
570,874,3,U,494,es_electronics,49.56,76965,32218,0
323,1389,2,M,187,es_sports,8.06,11021,13023,0
686,1304,4,U,453,es_travel,15.35,33496,38810,0
626,280,2,F,368,es_fashion,94.68,59170,19745,0
288,771,2,F,170,es_food,19.57,93185,88237,0
663,1467,3,U,479,es_wellnessandbeauty,72.38,53761,90501,1
639,954,0,F,187,es_hyper,22.01,59234,88565,0
155,329,5,U,419,es_hyper,59.27,39943,80570,0
490,1560,1,F,41,es_leisure,529.93,23366,81199,0
386,508,0,Enterprise,323,es_electronics,76.89,24756,39704,0
104,450,4,M,339,es_hyper,90.38,65538,18234,0
393,1399,4,M,83,es_home,29.33,50162,50303,0
246,1320,3,E,321,es_home,6.06,74382,92511,0
176,1500,5,M,342,es_hyper,71.24,89225,42691,0
39,839,6,M,147,es_fashion,159.35,51185,85153,0
477,393,2,Enterprise,474,es_health,43.59,69660,95902,0
682,109,2,M,335,es_electronics,57.49,39129,29701,0
538,359,2,Enterprise,147,es_fashion,213.02,15748,59208,0
408,956,1,E,281,es_transportation,6.51,44080,86555,0
525,935,2,E,167,es_health,186.2,91318,97812,0
506,1313,2,M,256,es_hyper,6.97,69840,89674,0
36,1442,1,M,223,es_home,94.65,67949,95217,0
685,318,4,E,94,es_wellnessandbeauty,23.47,73073,12915,0
20,341,3,U,376,es_health,48.55,95256,18815,0
321,1341,6,F,161,es_tech,50.01,45529,22626,0
512,349,0,M,248,es_food,63.19,89069,12563,0
400,27,4,M,464,es_travel,20.7,43780,43321,0
654,638,4,F,424,es_wellnessandbeauty,415.8,25685,12960,0
471,401,3,F,268,es_tech,6.41,96420,11538,0
143,316,U,F,348,es_fashion,76.85,62485,17842,0
92,1706,0,U,158,es_electronics,30.02,16257,26419,1
354,1583,3,M,70,es_fashion,29.26,50494,75343,0
51,368,2,F,170,es_fashion,105.72,55221,25172,0
665,343,U,F,398,es_travel,35.0,47583,39925,0
698,693,U,M,261,es_electronics,8.7,63935,13876,0
575,1389,1,M,420,es_electronics,196.91,36042,81314,0
190,1941,2,E,443,es_transportation,8.46,29404,98334,0
125,904,2,F,441,es_leisure,109.74,72088,76868,0
150,1097,5,F,215,es_tech,22.17,86970,54986,0
314,1146,6,F,316,es_hyper,131.51,97081,63631,0
570,1889,5,E,480,es_tech,145.92,91142,93595,0
342,186,2,F,479,es_travel,24.87,88059,84305,0
305,836,2,Enterprise,78,es_health,20.09,17746,42318,0
692,319,4,Enterprise,480,es_home,1902.48,48861,29837,1
682,955,6,U,447,es_health,38.6,28732,61718,0
54,594,1,U,433,es_wellnessandbeauty,15.9,15594,18995,0
444,992,1,Enterprise,475,es_food,13.3,14130,58462,0
613,1566,2,F,193,es_travel,3.88,48860,39884,0
264,793,2,F,369,es_food,142.97,46259,87746,0
53,1657,3,M,308,es_health,12.06,29154,77557,0
572,353,3,M,137,es_electronics,9.49,99609,72534,0
620,355,3,F,144,es_electronics,58.17,12184,27399,0
5,106,4,Enterprise,35,es_sports,245.57,89971,48321,0
103,1848,4,F,330,es_travel,26.65,80682,85142,0
196,418,4,E,369,es_travel,63.31,48565,31795,0
350,1970,2,M,272,es_food,38.09,17090,39778,0
47,642,0,F,478,es_food,20.75,39458,27787,0
656,205,5,M,161,es_tech,110.88,10235,20748,0
269,565,6,F,307,es_tech,48.99,92576,21090,0
370,1406,3,E,317,es_fashion,38.95,44946,22155,0
636,1321,1,M,79,es_travel,57.56,87060,90234,0
106,1303,1,M,315,es_wellnessandbeauty,156.23,99313,36525,0
670,189,5,F,127,es_fashion,221.62,89273,28336,0
659,1751,4,F,359,es_hyper,112.51,56461,24670,0
657,543,2,F,456,es_wellnessandbeauty,5.63,64469,17982,0
120,1474,1,M,4,es_health,22.52,35897,90274,0
604,258,2,F,492,es_tech,19.96,31221,77234,0
58,453,2,M,386,es_hyper,333.99,50971,57511,0
346,1596,5,Enterprise,327,es_leisure,77.45,17604,20448,0
474,78,5,M,186,es_tech,337.37,72827,37977,0
117,1047,2,M,358,es_food,73.02,75059,31315,0
127,503,1,F,62,es_home,3.23,20272,25956,0
393,185,3,M,354,es_electronics,4.24,96733,58623,0
641,547,3,M,281,es_leisure,40.73,24208,30466,0
58,1537,2,M,327,es_electronics,1.97,83326,34646,0
634,1641,5,Enterprise,281,es_sports,3.47,47025,90178,0
513,1712,6,F,123,es_health,805.27,84765,58925,0
96,49,1,M,322,es_electronics,77.26,28084,36110,0
638,168,4,Enterprise,282,es_travel,162.8,80869,82206,0
118,1854,3,E,228,es_transportation,49.88,56578,64256,0
560,1807,1,M,496,es_hyper,85.08,54308,58369,0
601,1694,2,F,358,es_electronics,373.48,76487,69764,0
488,21,3,Enterprise,362,es_transportation,168.07,78105,45193,0
237,392,3,F,183,es_leisure,37.27,93042,67403,0
272,903,0,M,494,es_hyper,238.5,38940,37868,0
189,1129,4,M,131,es_fashion,21.87,28278,73258,0
704,1314,3,M,430,es_transportation,2.68,40743,51257,0
447,1657,3,U,157,es_sports,44.71,20302,53974,0
581,1728,5,U,186,es_food,92.9,98474,29605,0
247,1450,3,F,395,es_leisure,154.38,97718,82781,0
76,229,5,M,235,es_transportation,99.46,85611,91135,0
154,1205,4,Enterprise,149,es_hyper,22.88,39398,84790,0
656,352,3,F,43,es_fashion,20.57,53052,11867,0
435,225,3,F,4,es_electronics,167.7,74910,89439,0
86,1990,2,E,325,es_leisure,41.31,68435,46563,0
697,234,5,F,198,es_tech,104.92,65726,44208,0
285,266,2,M,278,es_home,38.88,75431,57508,0
220,858,0,M,366,es_home,93.91,83792,88844,0
69,314,0,E,359,es_wellnessandbeauty,40.54,86188,95561,0
47,499,6,F,6,es_tech,72.55,52270,91231,0
94,877,1,M,462,es_food,45.31,10351,80939,0
453,1242,4,Enterprise,150,es_sports,51.44,17367,67663,0
204,211,5,U,272,es_home,28.19,52231,24312,0
218,99,3,E,480,es_hyper,66.77,46823,10128,0
474,1645,5,E,164,es_wellnessandbeauty,60.27,58781,70269,1
432,1412,1,M,178,es_home,89.24,43820,97774,0
341,345,U,M,58,es_health,18.69,41166,50592,0
551,1277,3,M,199,es_travel,116.68,12909,26564,0
612,904,5,F,87,es_electronics,34.53,57125,33682,0
289,524,2,M,379,es_food,18.85,90432,24655,0
254,118,2,F,179,es_wellnessandbeauty,21.29,26977,93544,0
357,600,1,E,78,es_health,158.3,76825,47693,0
23,856,4,M,47,es_tech,56.53,46684,72735,0
522,209,0,M,437,es_wellnessandbeauty,101.85,20882,15321,0
100,1433,1,F,134,es_electronics,19.15,48429,53288,0
180,481,1,Enterprise,490,es_hyper,19.02,16262,32767,0
223,923,4,F,153,es_food,2.69,76830,30283,0
659,1666,4,F,387,es_fashion,19.85,93859,62636,0
442,329,3,M,269,es_tech,11.7,87587,81225,0
608,1207,2,F,115,es_hyper,11.21,50948,22440,0
325,1978,6,Enterprise,53,es_travel,197.65,29015,41258,0
516,417,U,F,242,es_health,29.68,64598,41465,0
16,1107,2,Enterprise,323,es_leisure,35.68,97504,68890,0
336,254,3,Enterprise,287,es_travel,25.0,51049,86253,0
258,945,4,E,383,es_electronics,24.59,25278,69047,0
