age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
87,student,married,unknown,no,1943.8,yes,no,telephone,25,aug,4115,27,539,24,success,no
81,technician,single,secondary,no,1082.75,yes,no,cellular,9,dec,3932,38,-1,4,failure,no
47,student,divorced,tertiary,no,117.32,yes,no,cellular,22,nov,1287,24,-1,42,unknown,no
22,retired,single,unknown,no,-2608.71,yes,no,cellular,10,jul,191,28,-1,48,failure,no
34,retired,married,primary,no,-1982.49,yes,no,cellular,4,nov,2491,25,-1,6,other,yes
91,self-employed,married,tertiary,yes,5565.02,yes,no,unknown,3,apr,4957,6,790,0,failure,no
69,self-employed,divorced,primary,no,9834.55,yes,no,telephone,26,apr,61,48,-1,10,success,no
33,services,single,secondary,no,2860.29,no,no,cellular,24,may,2833,30,-1,34,other,yes
28,self-employed,divorced,primary,no,3903.14,yes,yes,cellular,5,nov,4312,43,-1,31,failure,no
93,management,divorced,unknown,no,-1718.34,no,yes,telephone,24,jan,2993,3,-1,31,other,no
54,blue-collar,divorced,secondary,no,-1807.22,no,no,unknown,11,may,1540,13,-1,0,success,no
67,student,single,tertiary,no,-4220.38,yes,yes,cellular,16,may,563,42,-1,20,unknown,no
60,self-employed,single,unknown,no,-4666.87,no,no,telephone,22,may,962,38,-1,0,unknown,no
76,management,single,unknown,no,4306.9,no,no,telephone,27,jul,1167,31,-1,10,success,no
86,technician,single,unknown,no,5819.81,yes,no,telephone,30,dec,2808,42,-1,18,success,no
89,technician,divorced,tertiary,no,1150.75,yes,no,unknown,17,oct,375,9,-1,17,success,no
28,services,married,secondary,no,-1735.99,yes,yes,telephone,7,nov,865,4,-1,9,unknown,yes
66,management,single,secondary,yes,-2036.08,no,no,cellular,19,sep,4349,38,-1,39,success,no
74,self-employed,single,secondary,no,9347.56,no,no,cellular,28,apr,1456,49,-1,16,unknown,no
90,student,single,primary,yes,657.6,yes,no,telephone,25,jul,2606,32,-1,18,other,no
62,retired,married,tertiary,no,1839.3,yes,no,unknown,27,nov,1367,28,81,33,success,no
85,self-employed,single,secondary,no,8269.12,no,no,unknown,26,jul,3463,40,844,40,success,no
31,services,single,unknown,no,2854.47,yes,yes,telephone,20,may,2713,38,449,40,unknown,no
37,services,divorced,tertiary,no,1461.58,yes,no,unknown,29,sep,998,18,-1,22,other,no
45,retired,married,primary,no,4600.43,yes,no,unknown,20,jun,2987,26,-1,9,failure,no
36,student,married,unknown,no,-4719.77,yes,yes,unknown,26,may,289,2,-1,15,success,no
70,management,single,tertiary,no,-306.0,yes,no,unknown,19,nov,4167,1,-1,28,failure,no
45,student,married,secondary,no,-2054.45,no,no,telephone,5,oct,4561,44,-1,1,failure,no
81,self-employed,divorced,secondary,no,-442.03,yes,yes,telephone,24,may,4585,49,-1,38,unknown,no
42,technician,divorced,tertiary,no,4351.75,no,no,cellular,12,nov,3339,31,63,22,other,no
72,housemaid,divorced,tertiary,no,4034.16,yes,yes,unknown,17,jul,4665,20,-1,20,other,no
76,unknown,married,unknown,no,-723.21,yes,yes,cellular,12,apr,1744,8,-1,34,other,no
35,technician,single,unknown,yes,3881.78,no,no,unknown,29,jul,3412,1,-1,22,success,no
92,technician,single,secondary,no,1222.59,no,yes,unknown,24,mar,2532,8,-1,0,success,yes
24,unknown,married,secondary,no,1847.05,no,no,cellular,23,apr,3399,45,-1,18,failure,no
26,management,single,secondary,no,144.32,no,no,telephone,21,apr,888,37,-1,26,unknown,no
86,management,married,secondary,no,1840.99,no,no,telephone,11,feb,523,10,-1,8,other,no
21,unemployed,divorced,secondary,no,5543.12,no,no,unknown,28,jun,3014,6,331,48,failure,yes
77,admin.,married,secondary,no,7083.82,no,no,unknown,2,nov,3317,21,-1,21,failure,yes
28,housemaid,married,unknown,no,3318.28,yes,no,cellular,8,apr,524,4,-1,0,failure,no
44,blue-collar,single,unknown,no,-2278.57,no,no,telephone,1,nov,855,27,-1,36,other,no
82,student,divorced,unknown,no,-3644.33,no,no,cellular,16,may,1781,36,-1,48,unknown,no
83,unknown,divorced,tertiary,no,-1402.96,no,no,cellular,30,nov,3754,42,905,24,other,no
33,student,single,primary,no,-674.42,no,no,cellular,23,sep,253,8,-1,22,success,no
44,housemaid,married,primary,no,919.67,yes,no,unknown,3,may,4177,17,-1,27,other,no
78,management,married,unknown,no,1278.03,no,no,telephone,18,jan,803,30,-1,31,unknown,no
63,admin.,single,tertiary,no,3820.59,no,no,unknown,28,feb,2229,35,366,31,failure,no
80,student,single,secondary,no,-391.19,no,no,cellular,8,mar,4607,40,-1,47,failure,no
56,services,married,unknown,no,5534.08,no,no,cellular,9,sep,611,14,-1,25,failure,no
41,unknown,married,primary,no,-847.86,yes,no,cellular,17,feb,1749,49,-1,13,success,no
80,retired,married,secondary,no,3250.02,no,no,unknown,15,jun,4833,18,-1,42,success,no
72,self-employed,single,unknown,no,-6.65,no,no,telephone,21,may,3532,37,-1,15,unknown,no
34,technician,married,primary,no,-820.51,yes,no,unknown,13,mar,1214,41,-1,11,success,no
20,retired,single,primary,no,1806.18,no,no,telephone,2,jun,907,38,836,29,failure,no
42,entrepreneur,divorced,tertiary,no,-897.77,yes,no,unknown,12,jan,2974,24,403,48,success,no
76,student,married,primary,no,242.12,no,no,telephone,27,feb,2777,46,-1,45,failure,no
87,services,single,primary,no,-2828.69,no,yes,cellular,13,jul,1294,13,-1,30,other,no
69,housemaid,married,primary,no,-828.53,no,no,telephone,8,may,3114,46,-1,47,success,no
71,technician,single,tertiary,no,2921.43,yes,no,unknown,7,apr,3535,45,-1,8,other,no
89,unknown,divorced,secondary,no,-177.1,no,no,unknown,2,oct,2582,30,-1,30,failure,no
87,unknown,single,unknown,no,-2784.52,no,no,cellular,4,oct,2394,19,480,15,unknown,no
68,management,divorced,unknown,yes,4984.38,no,no,cellular,12,mar,610,33,-1,12,success,no
93,technician,married,primary,no,1589.43,no,no,cellular,30,aug,1975,45,-1,4,unknown,no
26,admin.,married,primary,no,1447.85,yes,no,cellular,14,feb,2634,3,-1,37,other,no
90,admin.,divorced,primary,no,4722.55,no,no,unknown,4,nov,743,17,-1,0,success,no
58,services,divorced,unknown,no,5225.11,no,no,telephone,9,mar,2394,47,-1,45,success,no
29,unemployed,married,primary,no,871.02,no,no,cellular,18,feb,4656,47,-1,25,other,no
64,admin.,married,unknown,no,2642.41,yes,no,unknown,1,dec,1152,10,-1,5,unknown,no
72,entrepreneur,divorced,tertiary,no,6501.84,yes,no,unknown,20,aug,1348,36,-1,34,other,yes
19,entrepreneur,single,tertiary,no,933.87,no,yes,telephone,28,oct,122,13,-1,23,other,yes
81,blue-collar,single,primary,no,4405.07,yes,no,telephone,8,nov,295,15,195,19,unknown,no
75,services,single,tertiary,no,3808.19,yes,no,telephone,25,feb,985,27,-1,16,unknown,no
56,entrepreneur,divorced,secondary,no,7917.4,no,no,telephone,8,may,2896,37,-1,0,failure,no
24,housemaid,married,unknown,no,-1807.93,no,no,unknown,9,feb,531,19,-1,3,failure,no
59,entrepreneur,divorced,tertiary,no,-5935.67,yes,no,unknown,3,feb,3637,39,521,42,unknown,yes
58,unknown,married,secondary,no,-2409.18,no,no,cellular,8,aug,1880,1,-1,44,other,no
89,technician,married,tertiary,no,1527.6,yes,no,telephone,20,apr,2665,33,-1,11,success,no
20,student,married,tertiary,no,3696.82,no,yes,unknown,26,may,4903,14,-1,4,success,no
58,unemployed,divorced,tertiary,no,-2041.07,yes,no,telephone,15,may,2195,31,-1,6,success,no
52,services,married,unknown,no,354.89,no,no,telephone,29,aug,3571,12,-1,23,success,yes
52,self-employed,single,unknown,no,1262.41,no,no,unknown,22,aug,3082,34,-1,26,other,yes
48,retired,married,tertiary,yes,4626.17,yes,no,unknown,2,feb,752,1,-1,42,unknown,no
43,unemployed,married,tertiary,no,1953.29,no,no,unknown,26,may,3233,1,-1,3,failure,no
70,self-employed,married,unknown,no,2689.74,yes,no,unknown,16,sep,1606,13,-1,29,success,no
39,technician,married,primary,no,-413.79,yes,no,unknown,2,may,4395,11,-1,11,other,no
52,housemaid,married,tertiary,no,206.6,no,no,cellular,29,feb,791,46,-1,21,success,no
39,housemaid,divorced,secondary,yes,3747.52,no,no,cellular,10,aug,3510,12,-1,36,success,no
41,student,divorced,tertiary,no,8767.32,no,no,cellular,6,oct,2813,8,-1,43,other,no
56,admin.,single,primary,no,-761.69,no,no,cellular,15,may,3283,3,-1,43,failure,no
55,blue-collar,married,unknown,no,2863.13,yes,no,telephone,26,may,3223,28,-1,28,success,no
51,student,divorced,primary,no,-4260.17,no,yes,unknown,12,apr,2762,38,-1,7,other,no
56,admin.,divorced,tertiary,no,2050.03,no,no,telephone,18,may,824,36,-1,36,unknown,no
85,unknown,single,primary,no,1315.8,yes,no,cellular,24,sep,1469,40,-1,23,other,no
49,unknown,married,secondary,no,972.09,no,no,telephone,3,jun,3463,4,-1,35,unknown,no
92,blue-collar,divorced,secondary,no,-774.98,no,no,cellular,30,apr,4550,27,-1,14,other,no
90,unknown,single,secondary,no,2489.34,yes,no,telephone,21,sep,3497,47,-1,29,failure,no
21,housemaid,divorced,primary,no,-3403.36,yes,yes,unknown,23,sep,4213,10,-1,38,success,no
84,blue-collar,divorced,primary,yes,3941.09,no,no,cellular,1,jun,53,12,-1,23,other,no
55,blue-collar,divorced,primary,no,4910.37,no,no,cellular,14,apr,2086,39,870,41,other,no
83,self-employed,married,tertiary,no,4560.71,no,no,cellular,3,mar,3063,37,-1,29,unknown,no
20,services,single,primary,no,3771.52,yes,no,unknown,28,nov,2552,10,-1,17,other,no
68,self-employed,married,tertiary,no,-238.78,no,no,unknown,11,oct,2585,18,-1,42,success,no
45,technician,single,unknown,no,-2897.28,no,no,cellular,6,feb,3303,31,672,8,failure,no
67,services,single,primary,no,-2120.3,no,no,unknown,22,aug,4061,13,-1,42,unknown,no
94,services,single,tertiary,no,4351.05,yes,no,telephone,4,mar,3539,48,-1,27,other,yes
39,entrepreneur,single,unknown,no,6434.25,yes,no,telephone,30,nov,730,24,-1,3,success,no
55,technician,married,tertiary,no,799.56,yes,no,cellular,15,mar,807,4,-1,26,failure,no
52,management,single,primary,no,-719.18,no,no,cellular,29,aug,4411,36,694,22,unknown,no
28,housemaid,divorced,unknown,no,-601.5,yes,no,telephone,16,jan,420,28,681,24,success,no
23,services,single,primary,no,-686.45,yes,no,cellular,28,apr,2688,44,-1,25,unknown,no
25,unemployed,married,secondary,no,1559.98,no,no,unknown,22,feb,2649,25,-1,24,failure,no
46,entrepreneur,divorced,tertiary,no,3025.98,yes,no,cellular,13,apr,2875,15,-1,12,success,no
82,self-employed,single,primary,no,77.01,yes,no,unknown,10,nov,3297,16,577,15,success,no
75,self-employed,married,tertiary,no,3477.26,yes,no,unknown,29,jul,1264,31,-1,22,failure,no
54,retired,married,secondary,no,-188.7,yes,yes,cellular,14,aug,3075,36,-1,11,success,no
57,retired,single,unknown,no,2284.36,yes,no,unknown,17,mar,1797,6,-1,25,other,no
81,unknown,divorced,unknown,no,9804.53,yes,no,cellular,13,aug,2543,39,-1,22,other,no
76,housemaid,divorced,tertiary,no,1578.64,no,no,unknown,27,jan,4643,32,-1,4,unknown,no
90,housemaid,married,primary,no,4282.58,yes,no,cellular,29,aug,288,49,-1,45,unknown,no
53,blue-collar,married,tertiary,no,446.17,yes,yes,telephone,23,mar,3884,38,-1,24,unknown,no
77,unemployed,divorced,secondary,no,1033.08,yes,no,telephone,11,oct,216,47,-1,31,other,no
63,unemployed,married,secondary,no,1789.19,no,no,telephone,12,sep,2905,26,-1,29,other,yes
45,services,single,unknown,no,-3046.87,no,no,cellular,24,aug,586,48,-1,44,failure,no
54,services,divorced,secondary,no,-1001.08,yes,no,cellular,9,dec,1548,43,-1,44,unknown,no
34,technician,married,tertiary,no,-235.26,yes,no,telephone,15,mar,1465,33,333,41,failure,yes
67,self-employed,divorced,secondary,no,7358.04,no,no,cellular,8,mar,3709,12,374,11,other,yes
50,management,single,unknown,no,6206.77,no,no,telephone,8,dec,2944,40,-1,42,failure,yes
30,technician,divorced,primary,no,1783.18,yes,no,telephone,26,jun,867,11,-1,0,failure,yes
27,student,single,unknown,no,2683.27,no,yes,unknown,2,dec,1678,13,-1,2,failure,no
53,blue-collar,married,tertiary,no,287.18,yes,no,telephone,21,nov,4083,23,-1,16,unknown,no
64,unknown,single,primary,no,752.04,yes,no,unknown,9,jan,634,19,237,15,other,no
53,self-employed,married,primary,no,8056.42,yes,no,cellular,16,jul,45,32,-1,22,failure,no
94,self-employed,married,primary,no,-6018.56,no,no,unknown,1,sep,4857,48,500,21,other,no
50,self-employed,single,unknown,no,5024.48,yes,no,telephone,13,aug,4401,22,-1,4,unknown,no
92,student,married,tertiary,no,3669.71,yes,no,cellular,22,feb,3289,12,-1,30,other,no
52,blue-collar,married,secondary,no,2091.3,no,no,unknown,18,mar,4002,28,-1,42,success,no
21,management,married,primary,no,2609.2,yes,yes,telephone,23,mar,3271,27,-1,24,other,no
45,entrepreneur,divorced,primary,no,3772.08,yes,no,telephone,18,sep,1793,11,-1,24,failure,no
63,technician,divorced,primary,yes,5630.9,yes,no,telephone,10,jun,1537,35,-1,22,unknown,no
91,student,divorced,unknown,no,3486.46,no,no,cellular,29,feb,4983,32,-1,3,success,no
70,admin.,single,unknown,no,3604.44,no,no,unknown,24,nov,617,38,-1,13,unknown,no
84,housemaid,divorced,primary,no,-3646.96,no,no,cellular,2,aug,1126,7,-1,5,unknown,no
81,admin.,single,secondary,no,-2972.95,yes,no,unknown,19,aug,758,30,-1,36,failure,no
91,technician,married,unknown,no,3694.57,yes,yes,cellular,29,jun,950,11,-1,42,other,no
26,blue-collar,married,primary,no,1621.85,no,no,telephone,25,jun,917,28,-1,31,success,no
38,entrepreneur,married,unknown,no,5054.62,no,no,telephone,3,mar,1709,12,-1,38,other,no
34,retired,married,unknown,no,-2975.13,no,no,unknown,10,jun,1547,43,-1,27,unknown,no
80,management,single,secondary,no,2935.44,yes,no,cellular,4,aug,947,24,-1,15,other,no
40,housemaid,single,tertiary,no,95.75,yes,no,telephone,8,feb,2235,1,-1,18,success,no
22,housemaid,single,primary,no,2424.62,no,no,unknown,14,nov,4270,14,341,20,unknown,no
77,technician,divorced,secondary,no,2511.03,yes,yes,cellular,18,dec,1835,47,-1,15,other,no
59,student,single,secondary,no,2164.87,yes,yes,unknown,9,jul,4635,3,521,44,other,no
63,management,divorced,unknown,no,57.23,yes,no,unknown,20,jun,3816,11,-1,25,success,no
57,admin.,married,primary,no,2460.39,yes,no,cellular,14,sep,902,37,417,48,unknown,no
20,unemployed,single,secondary,no,-2591.27,yes,no,cellular,4,jan,3381,37,-1,15,other,yes
68,housemaid,single,secondary,no,3457.23,yes,no,cellular,17,jun,2621,37,-1,10,failure,no
20,unknown,single,unknown,no,2887.8,no,no,unknown,2,feb,798,15,-1,3,other,no
48,housemaid,married,secondary,no,2688.22,yes,yes,unknown,9,mar,2104,34,-1,42,failure,no
85,admin.,married,primary,no,2165.03,no,no,unknown,8,mar,4846,6,-1,41,other,no
39,retired,divorced,unknown,no,3965.67,yes,no,unknown,22,mar,128,15,-1,34,failure,no
48,admin.,married,primary,no,5130.95,no,no,cellular,25,mar,336,22,730,41,other,no
37,unknown,divorced,secondary,no,6613.6,yes,yes,telephone,21,jun,1587,8,-1,10,failure,no
43,management,single,tertiary,no,5088.77,yes,yes,cellular,8,oct,1092,17,-1,11,success,no
45,admin.,divorced,tertiary,no,323.35,no,no,unknown,10,jul,3890,34,-1,14,failure,no
68,student,married,tertiary,no,5131.88,no,yes,cellular,18,jun,4130,32,-1,22,unknown,no
72,unknown,married,tertiary,yes,6400.81,yes,no,unknown,7,aug,1744,38,-1,41,failure,no
93,services,married,tertiary,no,5469.62,no,no,unknown,19,dec,836,2,-1,43,failure,no
94,unknown,divorced,primary,no,-51.24,no,no,unknown,22,nov,2594,37,-1,45,other,no
26,services,single,secondary,no,-212.2,no,yes,telephone,8,oct,1590,42,-1,24,success,no
46,technician,married,tertiary,yes,4925.07,no,yes,unknown,27,jan,3547,49,-1,3,unknown,no
81,management,married,secondary,no,3874.12,yes,no,cellular,20,oct,1559,6,-1,45,unknown,no
67,services,single,primary,no,2350.14,no,no,cellular,8,jul,2258,14,-1,15,failure,no
54,housemaid,divorced,unknown,no,-2692.58,no,no,telephone,19,oct,3347,10,-1,29,other,no
51,student,married,secondary,no,-2745.54,yes,yes,telephone,29,nov,3141,41,-1,13,success,no
47,entrepreneur,single,primary,no,267.22,no,yes,telephone,28,aug,1002,22,-1,42,unknown,no
34,retired,single,secondary,no,3848.22,yes,no,cellular,5,sep,4917,18,-1,17,success,no
48,admin.,divorced,secondary,no,4071.7,no,no,cellular,24,may,1306,44,718,45,unknown,no
41,unemployed,single,unknown,no,189.12,yes,no,telephone,7,mar,3941,40,-1,14,success,no
54,entrepreneur,divorced,unknown,no,-703.81,yes,no,unknown,24,may,906,43,-1,3,failure,yes
90,services,single,unknown,no,-681.64,yes,no,unknown,29,oct,3592,5,742,40,failure,no
24,admin.,single,primary,no,230.6,yes,no,cellular,28,may,417,34,-1,6,other,no
46,entrepreneur,single,tertiary,no,7875.65,no,no,unknown,15,sep,4343,4,317,9,other,no
52,services,divorced,unknown,no,32.92,no,no,unknown,13,jun,1677,17,-1,23,other,no
23,entrepreneur,married,tertiary,no,-6190.72,no,no,telephone,22,apr,1896,24,-1,46,failure,no
30,retired,single,tertiary,no,-3208.92,yes,no,unknown,16,nov,2332,34,-1,35,other,no
60,blue-collar,married,tertiary,no,-421.98,no,no,telephone,17,sep,4373,40,-1,35,unknown,no
34,housemaid,married,primary,no,-3142.85,no,no,cellular,26,feb,3497,45,649,8,success,yes
33,entrepreneur,single,primary,no,5015.17,no,no,unknown,11,jul,1878,46,-1,35,other,no
75,blue-collar,divorced,unknown,no,-2438.15,no,no,cellular,1,apr,1998,2,-1,13,success,no
41,unemployed,single,secondary,yes,6150.51,no,no,cellular,11,sep,894,4,576,16,other,no
62,retired,single,unknown,no,2631.24,yes,no,unknown,15,mar,3714,14,-1,39,other,no
34,self-employed,single,secondary,no,679.67,no,no,cellular,4,nov,4619,37,-1,37,success,no
40,unknown,single,primary,no,3246.33,yes,no,cellular,15,nov,1010,19,626,8,failure,no
40,technician,divorced,unknown,no,1258.59,no,no,cellular,13,jan,4262,11,-1,15,failure,no
31,unknown,single,tertiary,no,-875.38,yes,no,unknown,21,may,4123,8,-1,39,failure,yes
53,housemaid,divorced,tertiary,no,2522.15,yes,no,cellular,20,jul,4299,38,-1,13,failure,no
83,technician,single,primary,no,1413.62,no,no,unknown,10,aug,2591,25,-1,15,unknown,no
81,retired,single,secondary,yes,3143.13,no,no,telephone,23,jan,3375,23,-1,28,other,yes
64,technician,divorced,tertiary,no,2938.82,yes,no,cellular,30,mar,2294,34,694,1,failure,no
28,unemployed,divorced,secondary,no,-1689.15,no,no,cellular,17,sep,3473,9,-1,16,other,no
87,entrepreneur,divorced,unknown,no,742.39,yes,no,cellular,15,mar,4811,49,73,7,success,no
86,blue-collar,married,secondary,no,4638.4,yes,no,telephone,23,dec,2519,27,-1,32,other,no
30,unknown,divorced,primary,no,2726.18,yes,no,unknown,21,aug,39,42,-1,39,other,no
81,student,single,primary,no,5474.04,yes,no,telephone,16,aug,4270,45,-1,33,other,no
77,unemployed,single,primary,no,1513.92,yes,yes,unknown,3,nov,1916,33,707,48,success,no
54,student,single,primary,no,1587.95,no,no,unknown,8,feb,1333,13,-1,36,other,yes
83,self-employed,divorced,primary,no,1707.21,no,no,unknown,2,nov,163,31,-1,29,other,no
79,student,single,unknown,no,424.14,no,no,unknown,8,jan,501,45,-1,46,failure,no
33,services,divorced,tertiary,no,-1875.54,no,yes,unknown,26,may,1704,31,-1,21,failure,no
82,admin.,divorced,tertiary,no,482.99,yes,no,telephone,18,jan,2457,3,-1,22,failure,no
93,retired,single,tertiary,no,-4154.64,no,no,cellular,20,jul,3011,36,-1,25,other,no
66,services,divorced,secondary,no,-1163.87,no,no,unknown,21,dec,1218,46,-1,13,other,no
85,unemployed,divorced,primary,no,3050.38,yes,no,unknown,16,sep,3851,27,-1,2,failure,no
32,management,married,tertiary,no,3219.45,yes,no,telephone,7,aug,1672,36,-1,29,other,no
68,retired,divorced,secondary,yes,6149.78,yes,no,cellular,8,jan,3934,28,-1,24,other,yes
25,management,married,unknown,no,-1209.85,no,no,cellular,3,jul,3669,38,-1,10,failure,no
33,services,married,secondary,no,-1889.69,no,no,telephone,24,jan,881,36,-1,30,success,no
84,self-employed,single,secondary,no,3517.4,yes,no,cellular,24,dec,4463,40,-1,19,unknown,no
66,admin.,married,primary,no,288.2,yes,no,cellular,5,jun,2216,31,-1,35,other,yes
36,self-employed,divorced,primary,no,356.2,yes,no,telephone,14,apr,939,46,-1,45,failure,no
49,unknown,single,tertiary,no,-381.68,no,yes,unknown,19,apr,615,25,346,48,unknown,no
55,management,divorced,primary,no,3580.8,yes,no,cellular,22,oct,3399,27,-1,48,failure,no
44,admin.,divorced,secondary,no,302.37,yes,no,unknown,16,sep,1350,18,718,10,unknown,no
90,unemployed,single,secondary,no,7453.75,no,no,unknown,2,aug,3674,41,-1,42,failure,no
89,entrepreneur,single,unknown,no,-3489.35,yes,no,cellular,26,jul,4085,13,-1,44,other,no
21,unemployed,single,primary,no,-4596.25,yes,yes,cellular,5,oct,4618,10,-1,16,failure,no
66,unemployed,divorced,primary,no,1109.65,yes,yes,telephone,18,dec,1013,10,555,42,other,no
37,entrepreneur,married,primary,no,3019.07,no,no,telephone,6,apr,1134,47,585,15,other,no
72,student,divorced,primary,no,623.59,yes,yes,cellular,28,oct,441,28,-1,7,other,no
30,technician,single,tertiary,no,4199.52,no,no,telephone,16,aug,3738,34,-1,36,unknown,no
53,unemployed,divorced,secondary,no,5067.72,yes,yes,unknown,12,sep,3786,28,-1,27,unknown,no
52,management,divorced,secondary,no,3859.17,yes,no,telephone,13,mar,2493,35,-1,32,unknown,no
77,entrepreneur,single,primary,no,1457.0,no,no,unknown,8,sep,809,40,-1,28,unknown,no
36,services,married,secondary,no,-2773.68,no,no,cellular,7,jan,1914,46,-1,5,unknown,no
37,management,single,primary,yes,-489.64,yes,yes,telephone,11,jan,4942,25,-1,9,success,yes
19,technician,married,secondary,no,7046.89,yes,no,unknown,17,jan,3820,32,-1,36,other,no
72,blue-collar,single,tertiary,no,-97.43,yes,no,cellular,26,jun,824,11,-1,4,success,no
65,admin.,single,unknown,no,3310.47,yes,no,cellular,26,aug,1072,26,813,17,success,no
23,services,married,primary,no,-220.98,no,no,cellular,5,apr,1996,20,-1,31,failure,no
